ID	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C
ASV_230	0	0	0	0	0	0	0	0	0	74	128	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_316	3	0	1	0	0	0	1	0	2	0	0	1	5	4	5	0	5	5	5	1	9	7	3	4	0	0	0	0	0	2	7	1	4	1	4	6	3	0	6	2	2	0	0	0	0	0	0	0	5	8	11	4	3	0	5	0	2	0	1	0	0	0	0
ASV_117	1	6	6	8	7	4	0	0	0	9	3	3	5	6	4	46	17	16	33	17	25	11	13	14	19	14	4	23	17	20	5	4	3	15	32	13	5	4	13	11	7	6	1	0	0	0	0	0	23	31	28	10	15	14	10	21	24	2	8	5	0	0	0
ASV_141	0	9	0	20	19	13	0	0	14	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	8	32	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	5	13	15	18	0	0	0	0	0	0	0	0	0	0	0	0	5	4	8
ASV_256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	12	13	7	16	17	13	3	5	0	0	0	6	10	0	0	5	0	12	6	3	0	0	0	7	3	13	0	0	0	0	0	0	10	3	8	4	5	7	11	3	10	1	2	2	0	0	0
ASV_58	5	35	21	59	70	55	50	28	43	21	13	32	16	6	20	0	0	0	0	0	0	0	0	0	12	27	26	0	0	0	9	0	0	0	0	0	0	0	5	2	0	0	31	56	37	63	41	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_301	0	0	0	0	4	0	0	0	0	31	3	0	0	0	0	0	0	0	16	0	12	0	0	0	0	3	0	3	16	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	0	0	6	0	1	0	9	1	0	0	0	0	0	0	0	0
ASV_333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	18	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	11	5	0	0	17	11	13	0	0	0	0	0	0	13	12	8	7	7	0	0	0	7	0	0	0	0	0	0
ASV_288	0	0	0	3	0	0	0	1	0	0	3	0	0	0	0	19	12	8	17	17	18	0	0	4	1	0	0	0	0	1	0	0	0	5	4	0	4	0	2	6	12	8	0	0	0	0	0	0	4	2	0	10	0	6	0	0	7	1	1	0	0	0	0
ASV_197	0	13	9	0	0	11	0	0	0	9	0	0	0	0	0	11	0	11	6	18	10	0	0	6	0	0	0	0	0	0	0	21	0	0	8	0	0	0	0	0	0	0	23	9	14	0	0	0	7	0	0	0	17	17	0	0	0	3	8	0	0	0	0
ASV_62	36	1	29	0	0	1	0	2	0	0	7	0	5	2	0	0	0	0	0	0	0	0	22	16	1	37	37	14	0	0	0	1	0	2	1	9	1	0	1	0	0	0	2	2	1	17	16	15	0	0	0	0	0	2	0	0	0	0	0	0	13	18	14
ASV_204	0	0	0	0	3	0	5	3	6	2	6	10	0	0	3	0	3	5	9	23	20	0	3	0	2	4	2	0	2	2	11	2	3	13	5	6	2	7	3	8	11	19	3	1	2	2	1	5	1	2	13	11	10	12	4	4	6	1	1	0	0	3	0
ASV_315	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	33	32	36	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	6	4	0	0	0	0	0	0	2	4	0	0	0	0	4	1	2	0	0	0	0	0	0
